,TRANSACTION_ID,PREDICTION,PROBABILITY
0,eed6f943,0,0.00018811226
1,f5cd3ab1,0,0.00018334389
2,9dc2fd8e,0,0.0012423992
3,ce5560f4,0,0.0002759099
4,ece4a7d1,0,0.002447188
5,f8078302,0,0.0034477115
6,c03cdf82,0,0.0031893253
7,dae59d8a,0,0.0054442286
8,fe762796,0,0.0002078414
9,b3b915d5,0,0.00030112267
10,c0175b8c,1,0.44629848
11,3b4796fe,0,0.00085514784
12,43aacc0a,0,0.21139973
13,059cdc78,0,0.00057941675
14,7c7ea52d,0,0.00061005354
15,080fbb64,0,0.008178771
16,badaf6d3,0,0.4649335
17,d8ebb38a,0,0.00051528215
18,0aaaf501,0,0.25034142
19,0947ba11,0,0.0001539588
20,8c257096,0,0.010340035
21,3846e2a3,0,0.04513359
22,1632710a,0,0.0004056096
23,9345a862,0,8.547306e-05
24,9b080a0d,1,0.04060012
25,884fdd03,0,0.00050860643
26,7ef9c1c4,0,0.0009340048
27,925100b4,0,0.0005837083
28,021f964f,0,1.1980534e-05
29,ba36ed8f,0,0.0014923215
30,ae98c08a,0,1.3828278e-05
31,c5d146b5,0,0.00014132261
32,8adf17af,0,0.024739027
33,cea7f197,0,0.0004529953
34,019b24ff,0,0.03894049
35,f650c3fe,0,0.00030833483
36,525f5a46,0,0.16315556
37,28485f26,0,0.00041985512
38,e7817e34,0,0.13195324
39,c020d4f6,0,0.3157599
40,a47d3937,0,0.010190845
41,855f9b2a,0,0.011109114
42,1a15f728,0,7.605553e-05
43,d30b5d59,0,0.00020873547
44,0e42519f,0,9.274483e-05
45,cd6a4080,0,0.00040656328
46,ec908d4a,0,0.0029206872
47,ca6d49bd,0,0.00019133091
48,75386dc4,0,4.2557716e-05
49,46d119fa,0,0.016050756
50,f28790b9,0,0.00069719553
51,3d7d4017,0,0.00039112568
52,08bf9b25,0,0.0005494952
53,c2f499b5,0,0.020138502
54,b347f753,0,9.596348e-05
55,f5dc9576,0,1.4364719e-05
56,8ef864da,1,0.3606217
57,fa61acdc,0,0.00020062923
58,c8155870,0,0.00018996
59,c8b02dc0,0,0.0015858412
60,c441dd6a,0,0.01982838
61,99c25692,0,0.0003182888
62,b0e7580b,0,0.00012856722
63,7fbc7ef4,0,0.061994612
64,e280f337,0,5.596876e-05
65,84f65943,1,0.15270156
66,7a7d34ba,0,0.00017565489
67,289fe2fb,0,0.00020706654
68,cd13ea4b,0,0.005771816
69,99cab918,0,0.0016415119
70,e75ad7d8,0,0.00018113852
71,05a85d5c,0,0.00034296513
72,306a068f,0,0.00093597174
73,3db3568e,0,0.000936687
74,b1659a78,0,0.0013583302
75,b92d699d,0,0.00021368265
76,4b9b8e50,0,0.00019145012
77,677dab67,0,0.0012899637
78,763c2663,0,0.019674838
79,88377e1e,0,0.0013837218
80,aac0265e,0,0.0010330081
81,e15c51ba,0,0.17193371
82,a055c9ec,1,0.2950995
83,885c385a,0,0.0006479025
84,3830e3fd,0,0.041524947
85,a5e41a92,0,0.0016086698
86,6c6f9691,0,0.00012904406
87,da1b4eb8,0,0.000300467
88,fbeee610,0,0.000656724
